id,"last, first",inc,pcode,party,totrec,totdis,candcont,indcont,abbr,dist,spec,runoff,gewin,geper,otherpolcom,partycont
H2AK00093,"URQUIDI, DOUGLAS C",C,1,DEM,3208.82,3089.84,2635.48,573.34,AK,0,,,,,0,0
H2AK00101,"MOORE, MATTHEW EDWARD",C,1,DEM,43184.98,43184.98,4538.56,5130,AK,0,,,,,0,0
H2AK00119,"CISSNA, SHARON MARIE",C,1,DEM,19660,24388,0,13818,AK,0,,,L,28,1000,0
H2AK00127,"CHESNUT, DEBRA SUE",C,1,DEM,16694,16247,7700,8994,AK,0,,,,,0,0
H4AK00057,"VONDERSAAR, FRANK J",C,1,DEM,1109,1109.59,0,9,AK,0,,,,,0,0
H0AK00097,"COX, JOHN ROBERT",C,2,REP,1502,3533.98,400,1102,AK,0,,,,,0,0
H6AK00045,"YOUNG, DONALD E",I,2,REP,1003531.63,665974.39,0,624494.86,AK,0,,,W,64,374040.13,477.2
H0AL01030,"GOUNARES, PETER HUNTER",C,2,REP,15075,15077.8,0,10545,AL,1,,,,,0,0
H2AL01077,"BONNER, JOSIAH ROBIAS",I,2,REP,1140566.63,1263168.28,0,564463,AL,1,,,W,100,523034.4,0
H2AL01176,"YOUNG, LARRY DEAN JR",C,2,REP,238644.85,238644.85,50,44802,AL,1,,,,,0,0
H2AL01184,"RIEHM, PETER (PETE) J A",C,2,REP,39833.9,32300.32,0,34833.9,AL,1,,,,,0,0
H2AL01192,"RAILEY, CURTIS MONROE",C,3,IND,18015,15646.43,0,8015,AL,1,,,,,0,0
H0AL02087,"ROBY, MARTHA",I,2,REP,1035717.36,862502.48,0,480059.23,AL,2,,,W,65,522182.68,0
H2AL03099,"HARRIS, JOHN ANDREW",C,1,DEM,3884,4847.71,0,1744,AL,3,,,L,37,0,0
H2AL03032,"ROGERS, MICHAEL DENNIS",I,2,REP,1069891.19,982102.34,0,474560.95,AL,3,,,W,62,588500,2700
H2AL04055,"BOMAN, DANIEL HEATH",C,1,DEM,13561,5575,0,2400,AL,4,,,L,26,9061,100
H6AL04098,"ADERHOLT, ROBERT BROWN",I,2,REP,1247169.37,1140896.88,0,534734.58,AL,4,,,W,73,611000,0
H2AL05094,"HOLLEY, CHARLIE LEE",C,1,DEM,56141.98,56123.8,50.06,33555.03,AL,5,,,L,35,10700,500
H0AL05163,"BROOKS, MO",I,2,REP,904753.18,455514.82,0,426014.35,AL,5,,,W,64,459948.35,2500
H8AL05109,"GRIFFITH, R PARKER",C,2,REP,597459.56,597161.42,158000,20366,AL,5,,,,,0,0
H2AL06142,"BAILEY, PENNY HUGGINS",C,1,DEM,50326,50433,2300,22236,AL,6,,,L,28,20000,5789
H2AL06035,"BACHUS, SPENCER T III",I,2,REP,2725003.77,2904500.84,0,1128152.4,AL,6,,,W,71,1485107.9,0
H2AL06100,"STANDRIDGE, JACK DAVID",C,2,REP,40298.87,37675.91,0,32298.87,AL,6,,,,,0,0
H2AL06126,"BEASON, SCOTT",C,2,REP,152595,133060.4,200,150395,AL,6,,,,,2000,0
H0AL07086,"SEWELL, TERRYCINA ANDREA",I,1,DEM,1205399.57,863803.98,0,504236.47,AL,7,,,W,76,695969.43,1000
H0AL07177,"CHAMBERLAIN, DON",C,2,REP,23071.03,22263.32,0,4009,AL,7,,,L,23,0,5000
H2AL07165,"NORRIS, PHILLIP DWIGHT",C,2,REP,5966,6066,0,410,AL,7,,,,,0,0
H2AR01055,"HALL, CLARK MADISON",C,1,DEM,414291.49,414297.98,650.51,264849.09,AR,1,,,,,61000,3629.89
H2AR01063,"LATANICH, GARY ANDREW",C,1,DEM,48839.8,48842.25,0,21039.8,AR,1,,,,,1800,0
H2AR01071,"ELLINGTON, SCOTT A",C,1,DEM,372375.1,370676.52,0,240725.1,AR,1,,,L,39,104650,27000
H0AR01083,"CRAWFORD, ERIC ALAN RICK",I,2,REP,1339445.93,1274636.11,0,718772.91,AR,1,,,W,56,555787.18,23625
H2AR02053,"RULE, HERB C. III",C,1,DEM,251260.14,238531.58,0,101410.8,AR,2,,,L,39,4600,2500
H0AR02107,"GRIFFIN, JOHN TIMOTHY",I,2,REP,1619346.36,1659463.02,0,1043440.8,AR,2,,,W,55,535268.32,100
H2AR03234,"ADEN, KENNETH WADE",C,1,DEM,42676,43687,2340,26949,AR,3,,,,,6386,7000
H0AR03055,"WOMACK, STEVE",I,2,REP,932788.07,602443,0,468090.61,AR,3,,,W,75,433300,5000
H0AR04038,"ROSS, MICHAEL AVERY",I,1,DEM,450401.1,494853.63,0,96314,AR,4,,,,,349718.78,0
H2AR04109,"JEFFRESS, GENE",O,1,DEM,100330,98039.53,8000,31330,AR,4,,,L,36,23500,28500
H2AR04125,"MORRISON, DANIEL COCHRAN",O,1,DEM,19000,14893,0,900,AR,4,,,,,0,0
H2AR04133,"HURST, Q. BYRUM JR",O,1,DEM,316855.63,314758.41,7216.3,256799,AR,4,,,,,7000,756.33
H0AR04079,"RANKIN, BETH ANNE",O,2,REP,418028.11,425173.27,0,402099.6,AR,4,,,,,13875,225
H2AR04083,"COTTON, THOMAS",O,2,REP,2213217.51,2094866.54,0,1745771.53,AR,4,,,W,59,466742.57,0
H2AR04091,"RICHMOND, MARCUS EDWARD",O,2,REP,162208.96,162208.96,6724.43,25325,AR,4,,,,,0,0
H2AR04117,"COWART, JOHN DAVID",O,2,REP,48630,48629,17636,30692,AR,4,,,,,250,0
H0AS00018,"FALEOMAVAEGA, ENI",I,1,DEM,110570,100585.9,100,97220,AS,0,,,W,55,13250,0
H4AS00036,AUMUA AMATA,C,2,REP,19367.4,20697.45,0,14367.4,AS,0,,,L,34,5000,0
H8AS00052,"LANCASTER, ROSIE FUALA'AU TAGO",C,3,IND,8950,10886,8500,450,AS,0,,,L,4,0,0
H2AZ01271,"BALDENEGRO, WENONA RAE BENALLY",C,1,DEM,114394.5,116764.56,71,111635.52,AZ,1,,,,,2189.76,0
H8AZ01104,"KIRKPATRICK, ANN",C,1,DEM,2363587.45,2369726.45,0,1744948.48,AZ,1,,,W,48,562862.32,20350.28
H8AZ01161,"OLIVAS, MIGUEL MIKE",C,1,DEM,26772.94,23783.94,1639,1350,AZ,1,,,,,0,0
H0AZ08056,"PATON, JONATHAN",C,2,REP,1477836.14,1489294.36,0,954249.7,AZ,1,,,L,45,432550,15000
H2AZ01289,"WADE, DOUGLAS",C,2,REP,43506.1,48656.32,0,28506.1,AZ,1,,,,,0,0
H2AZ01305,"MARTIN, GAITHER",C,2,REP,155264.95,155264.95,34424.95,63840,AZ,1,,,,,0,0
H2AZ02279,"ABOUD, PAULA ANN",C,1,DEM,78044.72,78044.29,0,28034.99,AZ,2,,,,,0,0
H2AZ02287,"FARLEY, STEVE",C,1,DEM,26825,21985.06,0,26825,AZ,2,,,,,0,0
