id,"last, first",inc,pcode,party,totrec,totdis,candcont,indcont,abbr,dist,spec,runoff,gewin,geper,otherpolcom,partycont
H0AK00055,"GREENE, CLIFFORD MARK",C,1,DEM,621,621,621,0,AK,0,,,,,0,0
H4AK00057,"VONDERSAAR, FRANK J",C,1,DEM,800,799,0,0,AK,0,,,,,0,0
H6AK00045,"YOUNG, DON E",I,2,REP,2482935.36,1747901.68,0,1491130.73,AK,0,,,L,2,928658.63,392
H2AL01119,"BELK, JUDY MCCAIN",C,1,DEM,465473.41,529989.34,176665.27,124177.72,AL,1,,,L,36,74430.2,14050
H2AL01150,"FOSTER, J. DON",O,1,DEM,1000,30,0,1000,AL,1,,,,,0,0
H2AL00012,"LIPSCOMB, ALBERT",O,2,REP,0,254,0,0,AL,1,,,,,0,0
H2AL01051,"YOUNG, TOM",O,2,REP,9000,12931.75,0,2000,AL,1,,,,,7000,0
H2AL01069,"WHETSTONE, JOHN DAVID",O,2,REP,31321.1,41016,0,14546.99,AL,1,,,,,1174,0
H2AL01077,"BONNER, JOSIAH ROBINS JR.",I,2,REP,1180895.09,1015709.13,0,778293.95,AL,1,,,W,63,394355.71,750
H2AL01085,"PRINGLE, CHRIS",C,2,REP,38279.66,45982.94,0,22025,AL,1,,,,,2200,14000
H2AL01093,"GLOVER, BENJAMIN N RUSTY III",O,2,REP,1480,1485,980,0,AL,1,,,,,500,0
H4AL01032,"CALLAHAN, HERBERT L",C,2,REP,5155.96,48829.36,0,0,AL,1,,,,,0,0
H4AL02063,"JAMES, CHARLES DEAN",C,1,DEM,1320,1320,0,1640,AL,2,,,L,28,0,1000
H2AL02067,"EVERETT, TERRY",I,2,REP,2001444.5,1937044.18,0,439265.74,AL,2,,,W,71,336616.98,6036.3
H2AL03073,"BURNETT, WILLIE",O,1,DEM,3623,3623,0,0,AL,3,,,,,0,0
H4AL03046,"FULLER, BILL",C,1,DEM,280238.21,240776.56,0,162038.21,AL,3,,,L,38,115700,2500
H6AL03082,"WILLIS, GERALD",O,1,DEM,900,900,900,0,AL,3,,,,,0,0
H8AL03039,"TURNHAM, JOSEPH R",O,1,DEM,171558.34,167182.18,132355.19,430,AL,3,,,,,0,0
H2AL03032,"ROGERS, MICHAEL",I,2,REP,2121838.37,1893594.35,0,1194102.11,AL,3,,,W,61,818567.58,75460.36
H2AL03057,"DIAL, JASON",O,2,REP,0,0,0,0,AL,3,,,,,0,0
H2AL03065,"FINK, JEFFREY JOHN",O,2,REP,0,0,0,0,AL,3,,,,,0,0
H6AL03058,"RILEY, BOB",C,2,REP,60878.14,211966.96,1246.73,6120.09,AL,3,,,,,871.6,0
H4AL04028,"COLE, CARL ALLEN III",C,1,DEM,25553.5,25497.29,0,23303.5,AL,4,,,L,25,1500,750
H6AL04098,"ADERHOLT, ROBERT B",I,2,REP,748913.55,735358.06,0,405913.78,AL,4,,,W,74,255700,18.39
H0AL05049,"CRAMER, ROBERT EDWARD ""BUD"" JR",I,1,DEM,820380.72,588843.11,0,391908.17,AL,5,,,W,73,403467.07,0
H2AL05078,"WILLIAMS, MICHAEL L.",C,1,DEM,105,85,105,0,AL,5,,,,,0,0
H6AL05038,"FLIPPO, RONNIE G",C,1,DEM,6682,35110,0,0,AL,5,,,,,0,0
H2AL05060,"ENGEL, STEPHEN P.",C,2,REP,5602.96,5490.72,113.94,5489.02,AL,5,,L,,,0,0
H4AL05058,"BAILIE, NATHAN JAMES",C,2,REP,4914,4904,0,4914,AL,5,,,,,0,0
H4AL05066,"WALLACE, GERALD C",C,2,REP,12644,12610,500,10994,AL,5,,W,L,26,1000,150
H2AL06035,"BACHUS, SPENCER T.",I,2,REP,1647639.42,1376109.29,0,637883.07,AL,6,,,W,0,867991.43,1626.23
H4AL06064,"JAUREGUI, PHILLIP L",C,2,REP,30808.49,30808.49,4251.17,24557.32,AL,6,,,,,2000,0
H0AL07060,"DAVIS, ARTUR GENESTRE",I,1,DEM,1086625.59,1068611.34,104.27,569228.74,AL,7,,,W,74,512017.66,1000
H2AL07041,"HILLIARD, EARL F",C,1,DEM,100,458,0,0,AL,7,,,,,0,0
H4AL07054,"TURNER, ALBERT",C,1,DEM,26340,7242,3140,10700,AL,7,,,,,0,0
H6AL07133,"BETHUNE, MILTON R",C,2,REP,0,0,0,0,AL,7,,,,,0,0
H6AR01072,"BERRY, MARION",I,1,DEM,1099241.37,947844.67,0,509222,AR,1,,,W,66,577350,8221.49
H6AR01080,"DONALDSON, THOMAS F JR",C,1,DEM,10910,10910,10910,0,AR,1,,,,,0,0
H2AR01048,"ROBINSON, TOMMY",C,2,REP,1068.5,1655.41,0,0,AR,1,,,,,1068.5,0
H4AR01044,"HUMPHREY, VERNON WOODROW",C,2,REP,25092,23836,394,11854,AR,1,,,L,33,0,7844
H2AR02038,"BAKER, JIM",C,1,DEM,0,0,0,0,AR,2,,,,,0,0
H6AR02203,"SNYDER, VICTOR F",I,1,DEM,891223.22,880501.15,0,611146.76,AR,2,,,W,57,251530.25,8000
H0AR02073,"MARTIN, ROD D",C,2,REP,708,801,608,100,AR,2,,,,,0,0
H2AR02046,"GARNER, ED",C,2,REP,39668,39629,0,37165,AR,2,,,,,2500,0
H4AR02117,"PARKS, MARVIN",C,2,REP,576856.96,574025.63,0,482411.64,AR,2,,,L,41,76275,15944
H2AR03150,"HATHORN, MICHAEL CARL",O,1,DEM,2169.21,4800,0,1150,AR,3,,,,,1000,0
H2AR03168,"CARSON, JO ELLEN",O,1,DEM,0,0,0,0,AR,3,,,,,0,0
H4AR03024,"JUDY, JANICE (JAN) A",C,1,DEM,353825.31,353825.31,0,259544.11,AR,3,,,L,37,51750,22390
H2AR03143,"HENDREN, JAMES PAUL",O,2,REP,0,96,0,0,AR,3,,,,,0,0
H2AR03176,"BOOZMAN, JOHN NICHOLS",I,2,REP,697089.44,543287.07,0,399290.4,AR,3,,,W,59,286450,7215
H2AR03192,"DELAY, ROBERT GUNNER",O,2,REP,0,0,0,0,AR,3,,,,,0,0
H6AR03011,"HUTCHINSON, WILLIAM ASA",C,2,REP,6102.96,5729.51,0,0,AR,3,,,,,0,0
H4AR03032,"MORFEY, DALE WILLIAM",C,3,IND,2624,2471,300,2174,AR,3,,,L,2,0,0
H0AR04038,"ROSS, MICHAEL A",I,1,DEM,1218966.27,756927.36,25,484786.25,AR,4,,,W,0,704031.1,1169.3
H0AR04046,"HARRIS, BRUCE C",C,1,DEM,0,0,0,0,AR,4,,,,,0,0
H6AR04043,"COPLEY, STEPHEN JEAN",C,1,DEM,0,0,0,0,AR,4,,,,,0,0
H2AR04067,"DICKEY, JAY W JR",C,2,REP,7533.82,43785.14,0,2147.35,AR,4,,,,,0,0
H2AR04075,"STEARNS, DAVID E",C,2,REP,0,12041.44,0,0,AR,4,,,,,0,0
H0AS00018,"FALEOMAVAEGA, ENI",I,1,DEM,117413.51,117313.29,1800,92113.51,AS,0,,,W,52,23500,0
H4AS00036,"COLEMAN, AUMUA AMATA",C,2,REP,41055,41143.66,0,36210,AS,0,,,L,47,2500,2000
H2AZ00059,"PRESCOTT, DIANE",O,1,DEM,225109.95,225323.56,4000,137507.06,AZ,1,,,,,1000,0
H2AZ01156,"MARTINEZ, SAM C",O,1,DEM,19.18,19.18,19.18,0,AZ,1,,,,,0,0
H2AZ01198,"UDALL, STEPHEN G",O,1,DEM,1015.31,1665.81,1015.31,0,AZ,1,,,,,0,0
H2AZ01206,"WATCHMAN, DERRICK B",O,1,DEM,90,150.56,0,0,AZ,1,,,,,0,0
H2AZ01230,"DUVAL, FRED",O,1,DEM,6037.06,37613.72,0,500,AZ,1,,,,,0,0
H2AZ08011,"CORDOVA, GEORGE ADAM",O,1,DEM,0,4473.53,0,0,AZ,1,,,,,0,0
H4AZ01111,"BABBITT, PAUL J JR",C,1,DEM,1298532.81,1274855.1,0,866851.79,AZ,1,,,L,36,409986.02,19500
H4AZ01129,"DONAHUE, BOB",C,1,DEM,3527.45,3437.62,2577.45,950,AZ,1,,,,,0,0
H0AZ01218,"LIDDY, THOMAS PURCELL",O,2,REP,0,4060,0,0,AZ,1,,,,,0,0
H2AZ01149,"HAY, SYDNEY",O,2,REP,1500,2834.55,0,1500,AZ,1,,,,,0,0
H2AZ01172,"RENZI, RICHARD GEORGE",I,2,REP,2358752.79,2207255.37,0,848049.92,AZ,1,,,W,58,1205648.67,10034.28
H2AZ01180,"WHITING, RICHARD BRUCE",O,2,REP,1522.64,4124.8,0,0,AZ,1,,,,,0,0
H2AZ01222,"EVERETT, ALAN",O,2,REP,0,0,0,0,AZ,1,,,,,0,0
H4AZ01061,"SMITH, SUSAN BITTER",O,2,REP,0,0,0,0,AZ,1,,,,,0,0
H2AZ02220,"CAMACHO, RANDY ROBERT",C,1,DEM,93253.53,101998.65,0,46473.53,AZ,2,,,L,38,45000,1000
H2AZ03053,"FARLEY, ELIZABETH M",O,1,DEM,0,13055.93,0,0,AZ,2,,,,,0,0
H4AZ02101,"COOR, LAWRENCE W",C,1,DEM,8802,8801,2000,4802,AZ,2,,,,,0,0
H2AZ02188,"ATKINS, LISA ANN",O,2,REP,10.32,2730,0,0,AZ,2,,,,,0,0
H2AZ02196,"BUNDGAARD, SCOTT",O,2,REP,1077.67,750,0,0,AZ,2,,,,,0,0
H2AZ03079,"JOVICIC, DUSKO",O,2,REP,0,0,0,0,AZ,2,,,,,0,0
H4AZ02093,"MURPHY, RICK L",C,2,REP,801423.87,792262.11,0,249665,AZ,2,,,,,0,0
H4AZ04024,"FRANKS, TRENT",I,2,REP,804993.77,738531.69,0,399496.35,AZ,2,,,W,59,381497.42,0
H6AZ03112,"STUMP, BOB",C,2,REP,15000,79688.41,0,0,AZ,2,,,,,0,0
H8AZ03076,"HENSLEY, RICHARD FRANKLIN",O,2,REP,0,60,0,0,AZ,2,,,,,0,0
H4AZ04016,"SHADEGG, JOHN B.",I,2,REP,812405,794261.1,0,348301.14,AZ,3,,,W,80,459175.58,0
H2AZ02055,"PASTOR, EDWARD L",I,1,DEM,845642.95,624274.43,0,349640.79,AZ,4,,,W,69,469444.25,441.02
H2AZ05090,"KING, LAWRENCE C",C,1,DEM,0,0,0,0,AZ,5,,,,,0,0
H2AZ05108,"COLUMBUS, CRAIG",C,1,DEM,607.79,5365.42,0,0,AZ,5,,,,,0,0
H4AZ05047,"ROGERS, ELIZABETH",C,1,DEM,5091,4898,630,4421,AZ,5,,,L,38,0,0
H6AZ02056,"VOLGY, TOM",C,1,DEM,278,38007,0,0,AZ,5,,,,,0,0
H4AZ05054,"O'CONNELL, ROSELYN RUTH",C,2,REP,149715.85,149678.8,650,123943.84,AZ,5,,,,,9350,0
H4AZ06052,"HAYWORTH, JD",I,2,REP,1370632.49,1356728.79,0,834116.02,AZ,5,,,W,59,527019.83,0
H2AZ06106,"THOMAS, DEBORAH",C,1,DEM,272,372,0,0,AZ,6,,,,,0,0
H0AZ01184,"FLAKE, JEFF MR.",I,2,REP,644792.73,675061.38,0,525285.02,AZ,6,,,W,79,115000,0
H4AZ06086,"BARNES, STAN",C,2,REP,226616.81,226463.32,3300,179407.27,AZ,6,,,,,26250,0
H2AZ07039,"RICHARDSON, ELAINE",O,1,DEM,-1553.56,36.98,23978.18,0,AZ,7,,,,,36.98,0
H2AZ07054,"FLEISHER, MARK",O,1,DEM,0,254.26,0,0,AZ,7,,,,,0,0
H2AZ07062,"GUTIERREZ, JAIME P",O,1,DEM,0,638.86,0,0,AZ,7,,,,,0,0
