id,"last, first",inc,pcode,party,totrec,totdis,candcont,indcont,abbr,dist,spec,runoff,gewin,geper,otherpolcom,partycont
H6AK00144,"BENSON, DIANE E MS",C,1,DEM,248488.15,252912.36,773.64,243797.62,AK,0,,,,,0,0
H8AK00090,"METCALFE, JAMES K JAKE",C,1,DEM,151470.51,151470.51,125,140373.83,AK,0,,,,,5000,0
H8AK00108,"BERKOWITZ, ETHAN A",C,1,DEM,1646062.53,1634983.99,2329.35,1393314.82,AK,0,,,L,45,249550,242.9
H6AK00045,"YOUNG, DONALD E",I,2,REP,1412031.02,3213536.55,0,757445.67,AK,0,,,W,50,389646.56,6098
H8AK00116,"LEDOUX, GABRIELLE R",C,2,REP,540512.89,540033.72,7525,164187.89,AK,0,,,,,2500,0
H8AK00124,"PARNELL, SEAN",C,2,REP,604254.13,571971.49,0,587139.38,AK,0,,,,,0,0
H8AL01041,"LODMELL, BENJAMIN",C,1,DEM,72110.1,49822,60000,12110.1,AL,1,,,,,0,0
H2AL01077,"BONNER, JO",I,2,REP,842275.45,736711.29,0,431586.54,AL,1,,,W,0,397323.49,0
H8AL02130,"BRIGHT, BOBBY NEAL MR. SR.",O,1,DEM,1236102.93,1193169.19,0,679056.62,AL,2,,,W,50,537767.25,1000
H8AL02148,"SABEL, CHERYL T",O,1,DEM,27506,27506,1000,25506,AL,2,,,,,1000,0
H8AL02155,"CRAWLEY, CENDIE",O,1,DEM,9574,9574,7368,2206,AL,2,,,,,0,0
H2AL02067,"EVERETT, TERRY",I,2,REP,268322.82,189039.7,0,137256,AL,2,,,,,128850,0
H4AL02048,"WOODS, DAVID DWIGHT",O,2,REP,404251.66,404251.66,0,130418.99,AL,2,,,,,23300,0
H8AL02080,"LOVE, JAY K",O,2,REP,2446494.75,2444632.48,0,791263.6,AL,2,,,L,49,560324.71,0
H8AL02098,"MARTIN, JOHN",O,2,REP,16976,13033,0,2456,AL,2,,,,,0,0
H8AL02106,"SMITH, HARRI ANNE",O,2,REP,1038133.9,1035358.19,42000,571545.51,AL,2,,,,,15520,5000
H8AL02114,"GRIMES, DAVID G",O,2,REP,30020,30897,0,25520,AL,2,,,,,4500,0
H8AL02122,"SCHMIDTKE, CRAIG D",O,2,REP,800974.26,800939.7,778826.62,21147.64,AL,2,,,,,1000,0
H8AL03047,"SEGALL, JOSHUA STEVEN",C,1,DEM,1190087.99,1189893.64,19433.72,815490.43,AL,3,,,L,46,115294.74,6000
H2AL03032,"ROGERS, MICHAEL",I,2,REP,1480939.35,2056919.22,0,829593.69,AL,3,,,W,53,517440.42,17300
H8AL04045,"WARREN, GREG",C,1,DEM,24020.39,24020.39,15382.32,2073.13,AL,4,,,,,0,1000
H8AL04052,"SPARKS, NICHOLAS BERNELL",C,1,DEM,24879,22701,3486,19821,AL,4,,,L,25,500,1001
H6AL04098,"ADERHOLT, ROBERT B.",I,2,REP,666974.75,688870.42,0,281811.99,AL,4,,,W,74,269299.24,0
H0AL05049,"CRAMER, ROBERT E ""BUD"" JR",I,1,DEM,639714.93,905160.72,0,202750,AL,5,,,,,257557.75,1000
H8AL05117,"MAKER, DAVID JOEL",O,1,DEM,0,0,0,0,AL,5,,,,,0,0
H4AL05025,"PARKER, WAYNE JR.",O,2,REP,1456464.25,1276539.85,10000,863699.53,AL,5,,,L,48,362907.22,0
H8AL05091,"MCKEE, RAY",O,2,REP,116167.36,116167.36,0,28216,AL,5,,,,,0,0
H8AL05109,"GRIFFITH, PARKER REP.",O,2,REP,1843947.75,1786992.59,180000,718872.48,AL,5,,,W,51,691450,200
