id,"last, first",inc,pcode,party,totrec,totdis,candcont,indcont,abbr,dist,spec,runoff,gewin,geper,otherpolcom,partycont
H6AK00136,"VONDERSAAR, FRANK J",C,1,DEM,1092,1091,0,192,AK,0,,L,,,0,0
H6AK00144,"BENSON, DIANE E",C,1,DEM,198951.6,192486.89,1121.23,187564.17,AK,0,,W,L,67,0,10000
H6AK00045,"YOUNG, DONALD E",I,2,REP,1919786.62,1959811.4,0,1049009.72,AK,0,,W,W,94,707822.26,98
H6AL01052,"BECKERLE, VIVIAN SHEFFIELD",C,1,DEM,16746,13482,3242,10004,AL,1,,W,L,31,2500,2300
H2AL01077,"BONNER, JO",I,2,REP,1060003.03,875369.93,0,705199.76,AL,1,,W,W,68,353672.45,1000
H4AL02063,"JAMES, CHARLES D.",C,1,DEM,1806,6256,0,250,AL,2,,W,L,30,0,0
H2AL02067,"EVERETT, TERRY",I,2,REP,698389.94,330379.74,0,311435.71,AL,2,,W,W,69,381954.23,0
H6AL03140,"PIERCE, GREG A.",C,1,DEM,7709,7674,600,4992,AL,3,,W,L,38,0,2000
H2AL03032,"ROGERS, MICHAEL",I,2,REP,1435195.88,1046769.68,0,709779.79,AL,3,,W,W,59,590882.19,40475.95
H6AL03132,"LAYFIELD, MARK EDWIN",C,3,IND,5041,4951,5001,40,AL,3,,,L,2,0,0
H6AL04098,"ADERHOLT, ROBERT B.",I,2,REP,715804.23,622255.47,0,418920.05,AL,4,,W,W,70,291600,1315.65
H0AL05049,"CRAMER, ROBERT EDWARD BUD JR",I,1,DEM,895213.4,589474.44,0,423604.25,AL,5,,W,W,0,470000,1000
H2AL06035,"BACHUS, SPENCER T.",I,2,REP,1638820.08,1893921.6,0,425332.67,AL,6,,W,W,0,1028134.71,748.23
H6AL06119,"GRAYSON, WARREN ROGERS",C,3,IND,600,550,100,500,AL,6,,,,,0,0
H0AL07060,"DAVIS, ARTUR G",I,1,DEM,764144.62,579167.22,500,195597.08,AL,7,,W,W,0,566744.96,0
H6AL07166,"WALTERS, EDDISON T",C,1,DEM,35881.27,35356.27,34556.27,1325,AL,7,,L,,,0,0
H6AR01072,"BERRY, MARION",I,1,DEM,1295569.48,1320299.4,0,631031.56,AR,1,,W,W,69,650025.04,12912.46
H6AR01106,"STUMBAUGH, MICKEY DARRIN ""STUBBY""",C,2,REP,98112.32,93110.74,0,81290.3,AR,1,,,L,30,6770.5,7267
H6AR02203,"SNYDER, VICTOR FREDERICK",I,1,DEM,659817.7,643535.85,0,427968.45,AR,2,,W,W,60,221750,9264.29
H6AR02229,"MAYBERRY, ANDY JOSEPH",C,2,REP,99037.27,98848.94,0,80987.34,AR,2,,W,L,39,1600,0
H6AR02237,"FORMICOLA, TOM",C,2,REP,28830,28827,0,3830,AR,2,,L,,,0,0
H6AR03086,"ANDERSON, WOODROW WILSON III",C,1,DEM,362691.72,361158.24,20785,86401.16,AR,3,,W,L,37,8500,20675
H2AR03176,"BOOZMAN, JOHN NICHOLS",I,2,REP,575634.02,651616.09,0,259897.11,AR,3,,W,W,62,306211.09,5275
H0AR04038,"ROSS, MICHAEL A",I,1,DEM,1334114.21,1254483.3,0,520536.87,AR,4,,W,W,74,769403.73,19960
H0AS00018,"FALEOMAVAEGA, ENI",I,1,DEM,42587.06,40569.65,0,16550,AS,0,,,W,47,26000,0
H4AS00036,"COLEMAN, AUMUA AMATA",C,2,REP,13990,9565,0,12990,AS,0,,,L,40,1000,0
